Company,"Cocoa
Percent",Rating,,
A. Morin,63%,3.75,,
A. Morin,70%,2.75,,
A. Morin,70%,3,,
A. Morin,70%,3.5,,
A. Morin,70%,3.5,,
A. Morin,70%,2.75,,
A. Morin,70%,3.5,,
A. Morin,70%,3.5,,
A. Morin,70%,3.75,,
A. Morin,70%,4,,
A. Morin,70%,2.75,,
A. Morin,70%,3,,
A. Morin,70%,3.25,,
A. Morin,70%,3.75,,
A. Morin,70%,2.75,,
A. Morin,70%,3,,
A. Morin,70%,3.25,,
A. Morin,70%,4,,
A. Morin,70%,3.25,,
A. Morin,70%,3.5,,
A. Morin,63%,4,,
A. Morin,70%,3.5,,
A. Morin,63%,3.75,,
Acalli,70%,3.75,,
Acalli,70%,3.75,,
Adi,60%,2.75,,
Adi,80%,3.25,,
Adi,88%,3.5,,
Adi,72%,3.5,,
Aequare (Gianduja),55%,2.75,,
Aequare (Gianduja),70%,3,,
Ah Cacao,70%,3,,
Akesson's (Pralus),75%,3.75,,
Akesson's (Pralus),75%,2.75,,
Akesson's (Pralus),75%,2.75,,
Alain Ducasse,65%,2.75,,
Alain Ducasse,75%,2.75,,
Alain Ducasse,75%,3,,
Alain Ducasse,75%,2.5,,
Alain Ducasse,75%,2.5,,
Alexandre,70%,3.5,,
Alexandre,70%,3.5,,
Alexandre,70%,3.5,,
Alexandre,70%,3.5,,
Altus aka Cao Artisan,60%,2.75,,
Altus aka Cao Artisan,60%,3,,
Altus aka Cao Artisan,60%,2.5,,
Altus aka Cao Artisan,60%,2.5,,
Altus aka Cao Artisan,60%,2.75,,
Altus aka Cao Artisan,60%,2.5,,
Altus aka Cao Artisan,60%,3,,
Altus aka Cao Artisan,80%,3.25,,
Altus aka Cao Artisan,60%,3,,
Altus aka Cao Artisan,60%,3.25,,
Amano,70%,4,,
Amano,70%,3.75,,
Amano,70%,4,,
Amano,70%,3,,
Amano,70%,3,,
Amano,70%,2.75,,
Amano,70%,3.5,,
Amano,70%,3,,
Amano,70%,3.75,,
Amatller (Simon Coll),70%,3,,
Amatller (Simon Coll),70%,2.75,,
Amatller (Simon Coll),85%,2.75,,
Amatller (Simon Coll),85%,3,,
Amazona,72%,3.25,,
Amazona,73%,3.5,,
Ambrosia,64%,3,,
Ambrosia,66%,3.25,,
Ambrosia,75%,3.25,,
Ambrosia,63%,3.25,,
Ambrosia,70%,3.25,,
Ambrosia,68%,3.5,,
Amedei,70%,3.75,,
Amedei,70%,4,,
Amedei,75%,4,,
Amedei,70%,5,,
Amedei,70%,3,,
Amedei,70%,3,,
Amedei,70%,3.5,,
Amedei,70%,3.75,,
Amedei,70%,4,,
Amedei,70%,3.5,,
Amedei,63%,3.5,,
Amedei,70%,5,,
Amedei,66%,4,,
AMMA,75%,3.25,,
AMMA,85%,2.75,,
AMMA,50%,3.75,,
AMMA,75%,3.75,,
AMMA,60%,4,,
Anahata,75%,3,,
Animas,75%,3.5,,
Ara,75%,3,,
Ara,72%,2.5,,
Ara,75%,2.75,,
Ara,75%,3,,
Arete,70%,3.5,,
Arete,70%,3.75,,
Arete,73%,3.5,,
Arete,70%,3.25,,
Arete,70%,3.25,,
Arete,70%,3.5,,
Arete,70%,3.75,,
Arete,70%,3.5,,
Arete,70%,4,,
Arete,70%,4,,
Arete,70%,3.75,,
Arete,70%,3.25,,
Arete,73%,3.25,,
Arete,70%,3.5,,
Arete,68%,3.5,,
Arete,70%,3.75,,
Arete,70%,3.5,,
Arete,70%,3.75,,
Arete,70%,4,,
Arete,75%,2.75,,
Arete,70%,3.25,,
Arete,75%,3.5,,
Artisan du Chocolat,72%,3.25,,
Artisan du Chocolat,72%,3.75,,
Artisan du Chocolat,72%,4,,
Artisan du Chocolat,72%,2.75,,
Artisan du Chocolat,100%,1.75,,
Artisan du Chocolat,72%,3.75,,
Artisan du Chocolat,72%,3.25,,
Artisan du Chocolat,72%,3.25,,
Artisan du Chocolat,72%,3.5,,
Artisan du Chocolat,75%,2.5,,
Artisan du Chocolat,72%,2.75,,
Artisan du Chocolat,72%,1.75,,
Artisan du Chocolat,80%,3,,
Artisan du Chocolat,75%,3,,
Artisan du Chocolat,72%,3.25,,
Artisan du Chocolat,72%,3.75,,
Artisan du Chocolat (Casa Luker),72%,2.75,,
Askinosie,68%,3.75,,
Askinosie,72%,3.75,,
Askinosie,70%,3.75,,
Askinosie,77%,3.75,,
Askinosie,75%,2.5,,
Askinosie,70%,3,,
Bahen & Co.,80%,3.25,,
Bahen & Co.,70%,3.5,,
Bahen & Co.,70%,3,,
Bahen & Co.,70%,2.5,,
Bahen & Co.,70%,2.5,,
Bakau,70%,2.75,,
Bakau,70%,3.5,,
Bar Au Chocolat,70%,3.5,,
Bar Au Chocolat,70%,4,,
Bar Au Chocolat,70%,3.25,,
Bar Au Chocolat,70%,3.5,,
Bar Au Chocolat,70%,3.75,,
Baravelli's,80%,2.75,,
Batch,65%,3.5,,
Batch,70%,3.75,,
Batch,65%,3.25,,
Beau Cacao,73%,3,,
Beau Cacao,72%,3.25,,
Beehive,80%,2.75,,
Beehive,70%,2.75,,
Beehive,70%,2.75,,
Beehive,90%,2.75,,
Belcolade,64%,2.75,,
Belcolade,64%,2.75,,
Belcolade,64%,2.75,,
Belcolade,71%,3.5,,
Bellflower,70%,3.5,,
Bellflower,70%,3.25,,
Bellflower,70%,3.5,,
Belyzium,83%,2.75,,
Belyzium,78%,3,,
Belyzium,83%,3.5,,
Benoit Nihant,74%,3.5,,
Benoit Nihant,74%,3.5,,
Benoit Nihant,74%,3.5,,
Benoit Nihant,73%,4,,
Benoit Nihant,72%,4,,
Benoit Nihant,72%,3.75,,
Bernachon,55%,2.75,,
Beschle (Felchlin),64%,3,,
Beschle (Felchlin),88%,3,,
Beschle (Felchlin),72%,3.5,,
Beschle (Felchlin),72%,4,,
Beschle (Felchlin),70%,3.25,,
Beschle (Felchlin),74%,3.25,,
Beschle (Felchlin),64%,3.5,,
Beschle (Felchlin),72%,3.5,,
Bisou,76%,2.5,,
Bisou,76%,2.5,,
Bisou,78%,2.5,,
Bisou,86%,3.25,,
Bittersweet Origins,72%,3.5,,
Bittersweet Origins,75%,3.25,,
Bittersweet Origins,70%,3.75,,
Bittersweet Origins,65%,2.75,,
Bittersweet Origins,70%,3,,
Bittersweet Origins,78%,3,,
Bittersweet Origins,75%,3,,
Bittersweet Origins,65%,3.5,,
Bittersweet Origins,75%,3.25,,
Bittersweet Origins,65%,3.5,,
Bittersweet Origins,71%,3,,
Bittersweet Origins,75%,3.5,,
Bittersweet Origins,68%,3.75,,
Bittersweet Origins,70%,3,,
Black Mountain,70%,2.75,,
Black Mountain,70%,2.75,,
Black Mountain,70%,3,,
Black River (A. Morin),70%,2.75,,
Blanxart,82%,3.5,,
Blanxart,72%,2.75,,
Blue Bandana,82%,3.5,,
Blue Bandana,75%,2.75,,
Blue Bandana,75%,3.5,,
Blue Bandana,75%,3,,
Blue Bandana,70%,3.5,,
Blue Bandana,70%,3.75,,
Bonnat,75%,3.5,,
Bonnat,75%,4,,
Bonnat,75%,3.25,,
Bonnat,65%,3.75,,
Bonnat,75%,3.5,,
Bonnat,75%,3.25,,
Bonnat,75%,3.5,,
Bonnat,75%,3.5,,
Bonnat,75%,3.5,,
Bonnat,75%,3.75,,
Bonnat,75%,4,,
Bonnat,75%,4,,
Bonnat,75%,3.5,,
